UniFormatCode,Description,RelatedMasterFormatCodes
10,Project Description,
1010,Project Summary,
1010.1,Summary of Work,
1010.3,Multiple Contract Summaries,
1010.5,Work Restrictions,
1020,Project Program,
1020.1,Site Program,
1020.5,Facility Program,
1030,Project Criteria,
1030.1,Zoning Requirements,
1030.15,Planned Unit Development Requirements,
1030.2,Code Analysis,
1030.4,Design Loads,
1030.5,Sustainable Design Requirements,
1030.53,Facility Environmental Requirements,
1030.56,Indoor Air Quality Requirements,
1030.7,Historic Restoration Requirements,
1040,Existing Conditions,
1040.3,Assessment,
1040.5,Subsurface Investigation,
1050,Owner’s Work,
1090,Funding,
1090.1,Budget,
1090.3,Sources,
1090.5,Cash Flow,
20,Owner Development,
2010,Site Acquisition,
2010.1,Site Purchase,
2010.2,Site Lease,
2010.4,Rights-of-Way and Easements,
2020,Permits,
2020.1,Zoning Permits,
2020.15,Planned Unit Development,
2020.3,Building Permits,
2020.5,Regulatory Required Permits,
2030,Professional Services,
2030.1,Project Managers,
2030.2,Design Professionals,
2030.3,Other Consultants,
2030.4,Testing Laboratories,
2030.5,Special Inspectors,
2030.6,Attorneys,
2030.7,Land/Project Development,
2050,Other Activities,
2050.1,Advertising and Promotion,
2050.3,Relocations,
2050.5,Rezoning,
2050.7,Code Appeals and Variances,
2080,Budget Project Contingencies,
2080.1,Budget Design Contingencies,
2080.2,Budget Construction Contingencies,
2080.4,Budget Unforeseen Subsurface Conditions,
2080.6,Budget Project Delays,
2090,Budget Financing,
2090.1,Construction Loans,
2090.3,Permanent Loans,
30,Procurement Requirements,
3010,Project Delivery,
3010.1,Project Delivery Methods,
3010.3,Number of Construction Contracts,
3010.5,Methods of Payment,
3020,Solicitation,
3020.1,Advertisements and Invitations,
3030,Instructions for Procurement,
3030.1,Instructions,
3030.15,Supplementary Instructions,
3030.2,Procurement Definitions,
3030.3,Procurement Scopes,
3030.5,Procurement Meetings,
3030.7,Procurement Substitution Procedures,
3040,Available Project Information,
3040.1,Preliminary Schedules,
3040.15,Project Budget Information,
3040.3,Existing Condition Information,
3040.35,Survey Information,
3040.4,Environmental Assessment Information,
3040.45,Existing Material Information,
3040.5,Existing Hazardous Material Information,
3040.55,Geophysical Data,
3040.6,Geotechnical Data,
3040.9,Permit Application,
3050,Procurement Forms and Supplements,
3050.1,Bid Forms,
3050.2,Proposal Forms,
3050.3,Procurement Form Supplements,
3050.5,Representations and Certifications,
40,Contracting Requirements,
4010,Contracting Forms and Supplements,
4010.1,Notice of Award,
4010.3,Agreement Forms,
4010.35,Agreement Form Supplements,
4010.5,Notice to Proceed,
4020,Project Forms,
4020.1,Bond Forms,
4020.3,Certificates and Other Forms,
4020.5,Clarification and Modification Forms,
4020.7,Closeout Forms,
4030,Conditions of the Contract,
4030.1,Contracting Definitions,
4030.3,General Conditions,
4030.35,Supplementary Conditions,
4040,"Revisions, Clarifications, and Modifications",
4040.1,Precontract Revisions,
4040.3,Record Clarifications and Proposals,
4040.5,Record Modifications,
A,Substructure,
A10,Foundations,
A1010,Standard Foundations,
A1010.10,Wall Foundations,
A1010.30,Column Foundations,
A1010.90,Standard Foundation Supplementary Components,
A1020,Special Foundations,
A1020.10,Driven Piles,31 08 13;31 08 13.13;31 09 16.26;31 48 33;31 62 00;31 62 13;31 62 13.13;31 62 13.16;31 62 13.19;31 62 13.23
A1020.15,Bored Piles,
A1020.20,Caissons,
A1020.30,Special Foundation Walls,
A1020.40,Foundation Anchors,
A1020.50,Underpinning,
A1020.60,Raft Foundations,
A1020.70,Pile Caps,
A1020.80,Grade Beams,
A20,Subgrade Enclosures,
A2010,Walls for Subgrade Enclosures,
A2010.10,Subgrade Enclosure Wall Construction,
A2010.20,Subgrade Enclosure Wall Interior Skin,
A2010.90,Subgrade Enclosure Wall Supplementary Components,
A40,Slabs-on-Grade,
A4010,Standard Slabs-on-Grade,
A4020,Structural Slabs-on-Grade,
A4030,Slab Trenches,
A4040,Pits and Bases,
A4090,Slab-On-Grade Supplementary Components,
A4090.10,Perimeter Insulation,
A4090.20,Vapor Retarder,
A4090.30,Waterproofing,
A4090.50,Mud Slab,
A4090.60,Subbase Layer,
A60,Water and Gas Mitigation,
A6010,Building Subdrainage,
A6010.10,Foundation Drainage,
A6010.20,Underslab Drainage,
A6020,Off-Gassing Mitigation,
A6020.10,Radon Mitigation,
A6020.50,Methane Mitigation,
A90,Substructure Related Activities,
A9010,Substructure Excavation,
A9010.10,Backfill and Compaction,
A9020,Construction Dewatering,
A9030,Excavation Support,
A9030.10,Anchor Tiebacks,
A9030.20,Cofferdams,
A9030.40,Cribbing and Walers,
A9030.60,Ground Freezing,
A9030.70,Slurry Walls,
A9040,Soil Treatment,
B,Shell,
B10,Superstructure,
B1010,Floor Construction,
